URL,Version,Status,OIDs,Name,Title,Description,Used
http://farmaco.maxapex.net/brig/fhir/CodeSystem/gsrs-substance-classification-br,0.0.3,draft,,GSRSSubstanceClassificationBR,GSRS Substance Classification - Brasil,"Classificação de substâncias conforme GSRS adaptado para Brasil","ValueSet/substance-classification-gsrs-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/gsrs-substance-status-br,0.0.3,draft,,GSRSSubstanceStatusBR,GSRS Substance Status - Brasil,"Status de substâncias conforme padrão GSRS adaptado para Brasil","ValueSet/substance-status-gsrs-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/legal-basis-anvisa-br,0.0.3,draft,,LegalBasisANVISABR,Base Legal ANVISA,"Bases legais para autorizações regulatórias ANVISA","ValueSet/legal-basis-anvisa-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/regulated-authorization-status-br,0.0.3,draft,,RegulatedAuthorizationStatusBR,Status de Autorização Regulatória ANVISA,"Status de autorizações regulatórias conforme processos ANVISA para medicamentos","ValueSet/regulated-authorization-status-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/regulated-authorization-type-br,0.0.3,draft,,RegulatedAuthorizationTypeBR,Tipo de Autorização Regulatória ANVISA,"Tipos de autorizações regulatórias conforme processos ANVISA para medicamentos","ValueSet/regulated-authorization-type-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/regulatory-procedure-type-br,0.0.3,draft,,RegulatoryProcedureTypeBR,Tipo de Procedimento Regulatório Brasil,"Tipos de procedimentos regulatórios ANVISA","ValueSet/regulatory-procedure-type-br"
http://hl7.org/fhir/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.1.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/ingredient-manufacturer-role,5.0.0,active,"2.16.840.1.113883.4.642.4.2078",IngredientManufacturerRole,Ingredient Manufacturer Role,"The way in which this manufacturer is associated with the ingredient. For example whether it is a possible one (others allowed), or an exclusive authorized one for this ingredient. Note that this is not the manufacturing process role","ValueSet/ingredient-manufacturer-role"
http://hl7.org/fhir/product-intended-use,5.0.0,active,"2.16.840.1.113883.4.642.4.1908",ProductIntendedUse,Product Intended Use,"ProductIntendedUse","ValueSet/product-intended-use"
http://hl7.org/fhir/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/therapeutic-indication-br,ValueSet/contraindication-condition-br,ValueSet/disease-symptom-procedure,ValueSet/comorbidity-br"
http://hl7.org/fhir/substance-amount-type,5.0.0,active,"2.16.840.1.113883.4.642.4.2086",SubstanceAmountType,Substance Amount Type,"The type of a numeric quantity measurement.","ValueSet/substance-amount-type"
http://hl7.org/fhir/substance-form,5.0.0,active,"2.16.840.1.113883.4.642.4.2111",SubstanceForm,Substance Form,"SubstanceForm","ValueSet/substance-form"
http://hl7.org/fhir/substance-name-authority,5.0.0,active,"2.16.840.1.113883.4.642.4.2095",SubstanceNameAuthority,Substance Name Authority,"SubstanceNameAuthority","ValueSet/substance-name-authority"
http://hl7.org/fhir/substance-representation-format,5.0.0,active,"2.16.840.1.113883.4.642.4.2081",SubstanceRepresentationFormat,Substance Representation Format,"SubstanceRepresentationFormat","ValueSet/substance-representation-format"
http://hl7.org/fhir/substance-structure-technique,5.0.0,active,"2.16.840.1.113883.4.642.4.2082",SubstanceStructureTechnique,Substance Structure Technique,"SubstanceStructureTechnique","ValueSet/substance-structure-technique"
http://terminology.hl7.org/CodeSystem/organization-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1128",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/organization-type"
http://terminology.hl7.org/CodeSystem/v2-0203,5.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/concentration-unit,ValueSet/presentation-unit"
http://www.whocc.no/atc,2.0.1,active,"2.16.840.1.113883.6.73",WC,WHO ATC,"WHO ATC","ValueSet/medicinal-product-classification-atc,ValueSet/interactant,ValueSet/substance-code-br,ValueSet/substance-code-meddra,ValueSet/therapy,ValueSet/medicinal-product-code-atc"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/additional-monitoring-indicator,0.0.3,active,,AdditionalMonitoringIndicator,Indicador de Monitorização Adicional,"Indicadores de monitorização extra definidos para produtos medicinais que requerem acompanhamento intensivo pós-comercialização","ValueSet/additional-monitoring-indicator-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/animal-tissue-type,0.0.3,active,,AnimalTissueType,Tipos de Tecido Animal,"Tipos de tecidos animais para os quais períodos de carência (withdrawal periods) são especificados em produtos veterinários","ValueSet/animal-tissue-type-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/authorization-case-type,0.0.3,active,,AuthorizationCaseType,Tipo de Processo de Autorização,"Tipos de processos administrativos para autorização regulatória","ValueSet/authorization-case-type-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/authorization-status-reason,0.0.3,active,,AuthorizationStatusReason,Motivo do Status da Autorização,"Motivos para o status atual de uma autorização regulatória","ValueSet/authorization-status-reason-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/biological-genus,0.0.3,active,,BiologicalGenus,Gênero Biológico,"Gêneros biológicos comuns em substâncias farmacêuticas","ValueSet/biological-genus-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/biological-species,0.0.3,active,,BiologicalSpecies,Espécie Biológica,"Espécies biológicas comuns em substâncias farmacêuticas","ValueSet/biological-species-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/clinical-use-definition-category,0.0.3,active,,ClinicalUseDefinitionCategory,Categoria de Definição de Uso Clínico,"Categorias que classificam o uso clínico (gravidez, lactação, etc.)","ValueSet/clinical-use-definition-category-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/clinical-use-definition-type,0.0.3,active,,ClinicalUseDefinitionType,Tipo de Definição de Uso Clínico,"Tipos de definição de uso clínico de produtos medicinais","ValueSet/clinical-use-definition-type-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/disease-status,0.0.3,active,,DiseaseStatus,Status da Doença,"Status ou estágio de uma condição médica","ValueSet/disease-status-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/interaction-effect,0.0.3,active,,InteractionEffect,Efeito da Interação,"Efeito clínico resultante de uma interação","ValueSet/interaction-effect-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/interaction-incidence,0.0.3,active,,InteractionIncidence,Incidência de Interação,"Frequência de ocorrência de interações","ValueSet/interaction-incidence-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/interaction-management,0.0.3,active,,InteractionManagement,Manejo de Interação,"Estratégias de manejo de interações medicamentosas","ValueSet/interaction-management-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/interaction-type,0.0.3,active,,InteractionType,Tipo de Interação,"Tipos de interação medicamentosa e com alimentos","ValueSet/interaction-type-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/manufactured-item-component-location,0.0.3,active,,ManufacturedItemComponentLocation,Localização de Componente de Item Manufaturado,"Localização de componentes dentro do item manufaturado","ValueSet/manufactured-item-component-location-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/manufactured-item-component-type,0.0.3,active,,ManufacturedItemComponentType,Tipo de Componente de Item Manufaturado,"Tipos de componentes estruturais de itens manufaturados","ValueSet/manufactured-item-component-type-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/manufacturing-process,0.0.3,active,,ManufacturingProcess,Processo de Manufatura,"Processos de manufatura de produtos farmacêuticos","ValueSet/manufacturing-process-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/medicinal-product-domain,0.0.3,active,,MedicinalProductDomain,Domínio de Produto Medicinal,"Domínio aplicável para o produto medicinal (uso humano, veterinário ou ambos)","ValueSet/medicinal-product-domain-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/optical-activity,0.0.3,active,,OpticalActivity,Atividade Óptica,"Atividade óptica de substâncias quirais (rotação da luz polarizada)","ValueSet/optical-activity-vs"
https://idmp-br.github.io/brig-idmp-brasil/CodeSystem/organism-part,0.0.3,active,,OrganismPart,Parte do Organismo,"Partes de organismos usadas como fonte de substâncias","ValueSet/organism-part-vs"
