URL,Version,Status,OIDs,Name,Title,Description,Used
http://farmaco.maxapex.net/brig/fhir/CodeSystem/administrable-dose-form-br,0.0.2,draft,,AdministrableDoseFormBR,Formas Farmacêuticas Administráveis - Brasil,"Sistema de códigos para formas farmacêuticas na apresentação final administrável","ValueSet/administrable-dose-form-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/administrable-property-br,0.0.2,draft,,AdministrablePropertyBR,Propriedades Administráveis - Brasil,"Sistema de códigos para propriedades de produtos administráveis","ValueSet/administrable-property-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/administrable-unit-br,0.0.2,draft,,AdministrableUnitBR,Unidades Administráveis - Brasil,"Sistema de códigos para unidades de apresentação administrável","ValueSet/administrable-unit-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/anvisa-category-br,0.0.2,draft,,ANVISACategoryBR,Categorias ANVISA - Brasil,"Sistema de códigos para categorias de produtos medicinais da ANVISA","ValueSet/anvisa-category-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/anvisa-regulatory-status-br,0.0.2,draft,,ANVISARegulatoryStatusBR,Status Regulatório ANVISA - Brasil,"Sistema de códigos para status regulatório de substâncias na ANVISA","ValueSet/anvisa-regulatory-status-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/anvisa-substance-code,0.0.2,draft,,ANVISASubstanceCode,Códigos ANVISA de Substância,"Sistema de códigos específicos da ANVISA para substâncias","ValueSet/substance-code-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/brazilian-government-systems,0.0.2,draft,,BrazilianGovernmentSystems,Sistemas Oficiais do Governo Brasileiro,"Sistema de códigos para referenciar sistemas oficiais do governo brasileiro","ValueSet/brazilian-government-systems"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/brazilian-pharmaceutical-terminology,0.0.2,draft,,BrazilianPharmaceuticalTerminology,Terminologia Farmacêutica Brasileira,"Sistema de códigos para terminologia farmacêutica brasileira padronizada","ValueSet/brazilian-pharmaceutical-terminology"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/change-severity-level,0.0.2,draft,,ChangeSeverityLevel,Níveis de Severidade de Mudança,"Sistema de códigos para classificação da severidade de mudanças","ValueSet/change-severity-level"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/clinical-use-category-br,0.0.2,draft,,ClinicalUseCategoryBR,Categorias de Uso Clínico - Brasil,"Categorias específicas brasileiras para classificação de uso clínico.","ValueSet/clinical-use-category-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/clinical-use-status-br,0.0.2,draft,,ClinicalUseStatusBR,Status de Uso Clínico - Brasil,"Status das definições de uso clínico adaptados para o contexto regulatório brasileiro.","ValueSet/clinical-use-status-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/clinical-use-type-br,0.0.2,draft,,ClinicalUseTypeBR,Tipos de Uso Clínico - Brasil,"Tipos de definição de uso clínico adaptados para o contexto brasileiro incluindo indicações terapêuticas, contraindicações, interações medicamentosas e critérios DCE-SUS.","ValueSet/clinical-use-type-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/concentration-unit-br,0.0.2,draft,,ConcentrationUnitBR,Unidades de Concentração - Brasil,"Sistema de códigos para unidades de concentração específicas brasileiras","ValueSet/concentration-unit-br"
http://farmaco.maxapex.net/brig/fhir/CodeSystem/container-materials-br,0.0.2,draft,,ContainerMaterialsBR,Materiais de Container - Brasil,"Sistema de códigos para materiais de containers brasileiros","ValueSet/container-materials-br"
