Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-brig.idmp.brazil.json	90921	-	0	0	0	0	0	0	23	123	0	0	0	0	0	0	0	2	0	0	1091	1238	0	0	0	14	0	3
fsh-generated/resources/ClinicalUseDefinition-dipirona-clinical-contraindication-example.json	1507	9	0	0	1	0	0	0	0	3536	0	0	0	0	0	0	0	0	0	0	33	40	0	0	0	0	0	1
fsh-generated/resources/ClinicalUseDefinition-dipirona-clinical-indication-example.json	2170	4	0	0	0	0	0	0	1	2411	0	0	0	0	0	0	0	1	0	0	35	24	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-paracetamol-clinical-indication-example.json	2611	5	0	0	0	0	0	0	0	3347	0	0	0	0	0	0	0	0	0	0	41	24	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-paracetamol-clinical-interaction-example.json	2144	5	0	0	0	0	0	0	0	1589	0	0	0	0	0	0	0	0	0	0	32	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-additional-monitoring-indicator.json	2360	4	0	0	1	0	1	0	1	20	0	0	1	0	0	0	0	0	0	0	41	990	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-administrable-property.json	1414	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-administrable-unit.json	1706	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	66	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-animal-tissue-type.json	2862	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	52	62	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-anvisa-category-br.json	2704	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	49	54	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-anvisa-regulatory-status-br.json	1901	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	33	50	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-anvisa-substance-code.json	1307	2	0	0	1	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	28	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-authorization-case-type.json	2016	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	41	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-authorization-status-reason.json	2211	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	43	79	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-biological-genus.json	1978	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	50	67	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-biological-species.json	1924	2	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	66	64	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-brazilian-government-systems.json	3479	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	61	59	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-brazilian-pharmaceutical-terminology.json	4004	3	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	71	66	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-change-severity-level.json	1247	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-clinical-use-category-br.json	4215	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	60	66	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-clinical-use-definition-category.json	1894	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	36	66	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-clinical-use-definition-type.json	1491	3	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-clinical-use-id-br.json	965	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	28	49	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-clinical-use-status-br.json	3969	3	0	0	0	0	0	0	1	845	0	0	0	0	0	0	0	1	0	0	47	67	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-clinical-use-type-br.json	5995	4	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	56	63	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-container-materials-br.json	2509	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	43	74	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-container-type-br.json	2173	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	36	64	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-controlled-substance-category-br.json	3238	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	52	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dcb-brasileiras.json	4044	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	60	70	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-disease-status.json	1826	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	57	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-exemplo-codesystem-brasileiro.json	1510	3	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	59	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-gmp-certification-status-br.json	1479	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	32	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-gsrs-substance-classification-br.json	2121	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	38	54	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-gsrs-substance-status-br.json	1507	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	47	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-identifier-change-reason.json	3430	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	79	81	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-identifier-lifecycle-status.json	1360	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	46	232	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ingredient-function.json	2128	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	37	212	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-ingredient-role.json	3507	3	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	59	77	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-interaction-effect.json	2147	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	58	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-interaction-incidence.json	1119	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-interaction-management.json	1831	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	38	55	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-interaction-type.json	1698	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	32	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-legal-basis-anvisa-br.json	1619	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-legal-status-supply-br.json	2362	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	44	49	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-manufactured-item-component-location.json	1733	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	37	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-manufactured-item-component-type.json	1901	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	37	60	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-manufactured-item.json	976	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	25	45	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-manufacturing-process.json	2846	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	69	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-marketing-status-br.json	1798	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	35	61	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medicinal-product-domain.json	1431	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	48	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-medicinal-product-type-br.json	2559	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	47	57	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mpid-br.json	1081	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	24	82	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mpid-defining-elements.json	1777	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	35	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-optical-activity.json	1380	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	31	72	0	0	0	1	0	0
